Date,prec,tmax,tmin,tmean,qt
2/7/1991,0,22.0561,11.6176,16.3637,2.56
2/8/1991,0,21.1163,13.3465,16.4727,2.44
2/9/1991,0,22.1323,10.9134,15.9209,2.44
2/10/1991,0,22.6456,12.9932,17.1448,2.38
2/11/1991,0,21.8698,14.594,17.861,2.38
2/12/1991,0,23.1196,14.3043,17.5701,2.3
2/13/1991,0,22.2176,12.5403,16.9065,2.3
2/14/1991,0,23.4077,13.9241,18.2247,2.3
2/15/1991,0,23.9013,14.4721,19.0021,2.3
2/16/1991,0,22.8693,14.5682,18.2317,2.33
2/17/1991,0,23.2147,12.9241,17.2674,2.38
2/18/1991,0,23.0733,14.8145,18.3073,2.24
2/19/1991,0,23.1741,12.2088,17.6005,2.18
2/20/1991,0,23.2527,12.2205,17.3603,2.16
2/21/1991,0,23.4376,13.0696,17.6157,1.71
2/22/1991,0,22.0147,13.5409,17.418,2.24
2/23/1991,0,24.0413,14.5281,18.3398,1.83
2/24/1991,0,24.55,15.2201,18.911,1.64
2/25/1991,0,23.7794,15.3793,18.8956,1.67
2/26/1991,0,22.7303,16.2586,18.91,1.99
2/27/1991,0,23.0328,15.1954,18.9303,2.2
2/28/1991,6.8549,22.0973,16.2149,18.926,2.14
3/1/1991,0,21.692,15.7423,18.5125,2.19
3/2/1991,0,23.3026,14.2924,18.5704,2.16
3/3/1991,0,23.1009,15.4647,19.055,2.11
3/4/1991,0,24.2389,13.0164,18.6992,2.07
3/5/1991,0,21.452,14.163,17.2391,2.07
3/6/1991,0,21.6612,15.0143,17.6973,2.03
3/7/1991,0,24.7774,14.0929,18.684,2.03
3/8/1991,0,24.2146,14.8369,19.083,1.99
3/9/1991,0,24.4079,13.4161,18.9108,1.99
3/10/1991,0,22.7268,16.3044,18.809,1.95
3/11/1991,0,23.4315,12.9841,17.7313,1.95
3/12/1991,0,23.7577,12.6224,17.9662,1.91
3/13/1991,0,24.4731,12.9015,18.5816,1.87
3/14/1991,0,24.5088,15.3628,19.4008,1.87
3/15/1991,0,24.0681,15.2913,19.568,1.87
3/16/1991,0,24.946,14.6162,19.3518,1.83
3/17/1991,0,24.5738,14.9719,18.9425,1.71
3/18/1991,0,24.8084,13.8782,18.8116,1.67
3/19/1991,0,24.7133,15.0991,19.3027,1.6
3/20/1991,0,24.263,13.9668,18.4397,1.6
3/21/1991,0,24.9094,12.9351,18.1111,1.64
3/22/1991,0,24.8946,13.072,18.5312,1.36
3/23/1991,0,24.641,13.2234,18.1273,1.53
3/24/1991,0,24.6583,13.5723,18.6332,1.71
3/25/1991,5.7363,23.1992,13.4645,17.8577,1.71
3/26/1991,0,23.1068,13.4823,17.8823,1.71
3/27/1991,0,22.6616,14.9568,18.1074,1.71
3/28/1991,0,22.9627,14.4592,18.0648,1.71
3/29/1991,0,22.0167,15.0733,18.3482,1.67
3/30/1991,6.1066,23.2845,16.0748,19.1693,1.64
3/31/1991,6.5013,23.7078,15.2315,18.7811,1.67
4/1/1991,0,23.4406,13.4779,18.1007,1.64
4/2/1991,0,24.1374,13.4046,17.9383,1.64
4/3/1991,0,24.7994,13.4119,18.2138,1.56
4/4/1991,0,24.6595,12.8184,17.8837,1.56
4/5/1991,0,24.5838,12.4017,18.072,1.56
4/6/1991,0,24.4727,14.0947,18.8355,1.56
4/7/1991,12.5675,22.465,15.8393,18.9922,1.75
4/8/1991,3.1419,25.1087,14.7884,18.8874,1.64
4/9/1991,21.5442,23.2138,15.1674,18.3579,1.67
4/10/1991,6.2837,23.4993,15.0811,18.313,1.64
4/11/1991,0,24.0624,14.2977,18.2026,1.56
4/12/1991,0,23.8729,13.6948,18.3281,1.56
4/13/1991,13.4868,22.2854,14.62,18.0172,1.58
4/14/1991,0,23.2328,13.9324,17.9365,1.62
4/15/1991,0,22.7778,14.3439,18.4085,1.64
4/16/1991,2.1666,25.4024,13.9352,18.9957,1.53
4/17/1991,0,24.424,15.0062,19.1854,1.53
4/18/1991,3.3313,24.4461,14.4617,19.2031,1.49
4/19/1991,0,24.1909,13.6586,18.8386,1.46
4/20/1991,0,25.4494,14.6782,19.3646,1.46
4/21/1991,0,24.952,15.6698,19.8165,1.42
4/22/1991,0,26.9693,13.5883,19.5215,1.42
4/23/1991,0,26.1277,16.568,20.1631,1.64
4/24/1991,16.4096,24.1883,15.9519,19.5948,1.64
